UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,999,331893745,164384742,167509003,125387253,126074358,21702615,23358242,2205122,2162418,9788376,10562107,439072,423971,4862304,4927907,129730133,130452904,23927564,25658788,3596189,3610709,11599902,12362313,861377,848483,132668543,136578158,97704907,99128524,20121104,21737432,1209987,1241929,9455217,10230684,316725,309521,3860603,3930068,101153332,102618969,21873872,23559310,2189686,2282765,10988920,11753676,646150,642108,31716199,30930845,27682346,26945834,1581511,1620810,995135,920489,333159,331423,122347,114450,1001701,997839,28576801,27833935,2053692,2099478,1406503,1327944,610982,608637,215227,206375
R,7,2021,0,3564493,1821502,1742991,1259238,1203312,291911,281768,35189,34011,106562,100438,6972,6596,121630,116866,1371192,1310852,360144,347698,57469,55369,150943,142831,15225,14450,1340055,1281824,870576,831485,255978,247221,13796,13189,98582,92817,4194,3955,96929,93157,960333,917711,311142,300569,27934,26749,135309,127896,10173,9641,481447,461167,388662,371827,35933,34547,21393,20822,7980,7621,2778,2641,24701,23709,410859,393141,49002,47129,29535,28620,15634,14935,5052,4809
R,7,2021,1,3702936,1893355,1809581,1318985,1258549,295974,286350,35312,34103,112306,105348,7114,6690,123664,118541,1432732,1367591,364398,352271,58252,56147,158106,148897,15598,14716,1404506,1339658,921339,876527,261140,252747,14191,13670,104547,97889,4376,4087,98913,94738,1012828,964163,316618,306200,28885,27777,142647,134063,10594,9950,488849,469923,397646,382022,34834,33603,21121,20433,7759,7459,2738,2603,24751,23803,419904,403428,47780,46071,29367,28370,15459,14834,5004,4766
R,7,2021,2,3767428,1923960,1843468,1338373,1278838,302175,294931,35990,34577,115499,108940,7246,6824,124677,119358,1452986,1388555,371186,361186,59219,56921,161587,152829,15801,14927,1422908,1359478,929879,883794,266979,260745,14528,14034,107563,101452,4427,4194,99532,95259,1021883,971843,322839,314407,29378,28318,145842,137871,10690,10124,501052,483990,408494,395044,35196,34186,21462,20543,7936,7488,2819,2630,25145,24099,431103,416712,48347,46779,29841,28603,15745,14958,5111,4803
R,7,2021,3,3856743,1971550,1885193,1369867,1306715,309054,301448,36672,34713,121671,114020,7322,6949,126964,121348,1486574,1418249,378973,368678,60324,57392,168879,158763,16096,15231,1463064,1395116,953633,905134,274514,267907,14574,14058,113982,106602,4606,4332,101755,97083,1047660,994831,331326,322457,29752,28621,153391,143867,11074,10414,508486,490077,416234,401581,34540,33541,22098,20655,7689,7418,2716,2617,25209,24265,438914,423418,47647,46221,30572,28771,15488,14896,5022,4817
R,7,2021,4,3935738,2013985,1921753,1404492,1336492,309784,301373,35854,34825,128425,120229,7488,7101,127942,121733,1522002,1448360,379253,368242,59920,57873,176752,165375,16504,15509,1496112,1422920,976652,924885,275732,268291,15644,15015,120705,112888,4806,4474,102573,97367,1071313,1014817,332037,322505,31220,29874,161168,150493,11503,10660,517873,498833,427840,411607,34052,33082,20210,19810,7720,7341,2682,2627,25369,24366,450689,433543,47216,45737,28700,27999,15584,14882,5001,4849
R,7,2021,5,4040153,2064722,1975431,1455796,1386976,310642,304513,35520,34178,126275,119064,7358,7073,129131,123627,1574489,1500634,380546,371975,60187,57807,174824,165036,16428,15651,1533576,1464801,1013588,961864,277141,272026,16179,15573,118538,111778,4667,4477,103463,99083,1109160,1053411,333889,326821,32172,30910,159066,150155,11373,10817,531146,510630,442208,425112,33501,32487,19341,18605,7737,7286,2691,2596,25668,24544,465329,447223,46657,45154,28015,26897,15758,14881,5055,4834
R,7,2021,6,4076629,2082411,1994218,1465519,1399221,316556,308756,35289,34252,128881,121252,7308,7073,128858,123664,1583952,1512911,386360,376178,60048,57956,177128,167231,16365,15632,1551983,1481782,1023310,972385,282552,275747,16527,15827,121468,114118,4680,4508,103446,99197,1118847,1064027,339213,330520,32685,31233,161898,152579,11420,10870,530428,512436,442209,426836,34004,33009,18762,18425,7413,7134,2628,2565,25412,24467,465105,448884,47147,45658,27363,26723,15230,14652,4945,4762
R,7,2021,7,4064596,2081253,1983343,1468995,1393544,317060,308150,35541,34249,125178,118487,6994,6741,127485,122172,1586208,1505841,385659,374919,60209,57815,173130,163619,16092,15319,1553561,1477618,1028901,972130,282844,275280,16884,16148,118094,111746,4546,4369,102292,97945,1123434,1062610,338478,329529,33017,31497,158242,149431,11274,10719,527692,505725,440094,421414,34216,32870,18657,18101,7084,6741,2448,2372,25193,24227,462774,443231,47181,45390,27192,26318,14888,14188,4818,4600
R,7,2021,8,4051555,2070502,1981053,1459919,1392923,314978,306818,35210,33992,127412,120152,7033,6704,125950,120464,1575570,1503471,382293,372042,59713,57544,175193,165132,16211,15290,1546703,1475530,1021681,970339,281802,274685,17055,16291,120533,113403,4627,4343,101005,96469,1114878,1059292,336334,327550,33085,31681,160568,150985,11408,10637,523799,505523,438238,422584,33176,32133,18155,17701,6879,6749,2406,2361,24945,23995,460692,444179,45959,44492,26628,25863,14625,14147,4803,4653
